Item #,Item Name,Section,Codes,Code Descriptions,Note
,,,8,Not applicable,
,,,9,Unknown whether brain is involved metastatic site. Not documented in patient record.,
,,,,,
1114,Mets at Dx-Distant LN,Stage/Prognostic Factors,0,None; no distant lymph node metastases,
,,,1,Yes; distant lymph node metastases,
,,,8,Not applicable,
,,,9,Unknown whether distant lymph node(s) are involved metastatic site. Not documented in patient record.,
,,,,,
1115,Mets at DX-Liver,Stage/Prognostic Factors,0,None; no liver metastases,
,,,1,Yes; distant liver metastases,
,,,8,Not applicable,
,,,9,Unknown whether liver is involved metastatic site. Not documented in patient record.,
,,,,,
1116,Mets at DX-Lung,Stage/Prognostic Factors,0,None; no lung metastases,
,,,1,Yes; distant lung metastases,
,,,8,Not applicable,
,,,9,Unknown whether lung is involved metastatic site. Not documented in patient record.,
,,,,,
1117,Mets at DX-Other,Stage/Prognostic Factors,0,None; no other metastases,
,,,1,"Yes; distant metastases in known site(s) other than bone, brain, liver, lung or distant lymph nodes (Note: includes bone marrow involvement for lymphomas)",
,,,2,Generalized metastases such as carcinomatosis,
,,,8,Not applicable,
,,,9,Unknown whether any other metastatic site or generalized metastases. Not documented in patient record.,
,,,,,
1120,Pediatric Stage,Stage/Prognostic Factors,,,
1130,Pediatric Staging System,Stage/Prognostic Factors,0,None,
,,,1,AJCC,
,,,2,Ann Arbor,
,,,3,Children's Cancer Group (CCG),
,,,4,Evans,
,,,5,General Summary,
,,,6,Intergroup Ewings,
,,,7,Intergroup Hepatoblastoma,
,,,8,Intergroup Rhabdomyosarcoma,
,,,9,International System,
,,,10,Murphy,
,,,11,NCI (pediatric oncology),
,,,12,National Wilms's Tumor Study,
,,,13,Pediatric Oncology Group (POG),
,,,14,Reese-Ellsworth,
,,,15,SEER Extent of Disease,
,,,88,Not applicable (not pediatric case),
,,,97,Other,
,,,99,Unknown,
1140,Pediatric Staged By,Stage/Prognostic Factors,0,Not staged,
,,,1,Managing physician,
,,,2,Pathologist,
,,,3,Other physician,
,,,4,"Any combination of 1, 2, or 3",
,,,5,Registrar,
,,,6,"Any combination of 5 with 1, 2, or 3",
,,,7,Other,
,,,8,"Staged, individual not specified",
,,,9,Unknown if staged,
1150,Tumor Marker 1,Stage/Prognostic Factors,0,None done (SX),
,,,1,Positive/elevated,
,,,2,Negative/normal; within normal limits (S0),
,,,3,Borderline; undetermined whether positive/elevated or negative/normal,
,,,Three-tiered system:,,
,,,4,Range 1 (S1),
,,,5,Range 2 (S2),
,,,6,Range 3 (S3),
,,,8,"Ordered, but results not in chart",
,,,9,Not applicable,
,,,For sites for which Tumor Marker 1 is not collected,,
,,,9,Not applicable,
1160,Tumor Marker 2,Stage/Prognostic Factors,0,None done (SX),
,,,1,Positive/elevated,
,,,2,Negative/normal; within normal limits (S0),
,,,3,Borderline; undetermined whether positive/elevated or negative/normal,
,,,Three-tiered system:,,
,,,4,Range 1 (S1),
,,,5,Range 2 (S2),
,,,6,Range 3 (S3),
,,,8,"Ordered, but results not in chart",
,,,9,Not applicable,
,,,For sites for which Tumor Marker 2 is not collected:,,
,,,9,Not applicable,
1170,Tumor Marker 3,Stage/Prognostic Factors,0,None done (SX),
,,,1,Positive/elevated,
,,,2,Negative/normal; within normal limits (S0),
,,,3,Borderline; undetermined whether positive/elevated or negative/normal,
,,,Three-tiered system:,,
,,,4,Range 1 (S1),
,,,5,Range 2 (S2),
,,,6,Range 3 (S3),
,,,8,"Ordered, but results not in chart",
,,,9,Not applicable,
,,,For sites for which Tumor Marker 3 is not collected:For sites for which Tumor Marker 3 is not collected:,,
,,,9,Not applicable,
1180,Reserved 05,Stage/Prognostic Factors,,,
1182,Lymphovascular Invasion,Stage/Prognostic Factors,0,Lymphovascular Invasion stated as Not Present,
,,,1,Lymphovascular Invasion Present/Identified,
,,,2,Lymphatic and small vessel invasion only (L),
,,,3,Venous (large vessel) invasion only (V),
,,,4,BOTH lymphatic and small vessel AND venous (large vessel) invasion,
,,,8,Not Applicable,
,,,9,Unknown/Indeterminate/not mentioned in path report,
,,,,,
1190,Reserved 06,Treatment-1st Course,,,
1200,RX Date Surgery,Treatment-1st Course,,,
1201,RX Date Surgery Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g., unknown if any surgical procedure site was performed).",
,,,11,"No proper value is applicable in this context (e.g., no surgical procedure was performed; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., surgery was performed but the date is unknown).",
,,,Blank,"A valid date value is provided in item RX Date Surgery [1200], or the date was not expected to have been transmitted.",
1210,RX Date Radiation,Treatment-1st Course,,,
1211,RX Date Radiation Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g., unknown whether any radiation therapy administered).",
,,,11,"No proper value is applicable in this context (e.g., no radiation therapy administered; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., radiation therapy administered but date is unknown).",
,,,15,"Information is not available at this time, but it is expected that it will be available later (e.g., radiation therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up).",
,,,Blank,"A valid date value is provided in item RX Date Radiation [1210], or the date was not expected to have been transmitted.",
1220,RX Date Chemo,Treatment-1st Course,,,
1221,RX Date Chemo Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g., unknown if chemotherapy administered).",
,,,11,"No proper value is applicable in this context (e.g., no chemotherapy administered; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., chemotherapy administered but date is unknown).",
,,,15,"Information is not available at this time, but it is expected that it will be available later (e.g., chemotherapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up).",
,,,Blank,"A valid date value is provided in item RX Date Chemo [1220], or the date was not expected to have been transmitted.",
1230,RX Date Hormone,Treatment-1st Course,,,
1231,RX Date Hormone Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g., unknown if any hormone therapy administered).",
,,,11,"No proper value is applicable in this context (e.g., no hormone therapy administered; autopsy only cases).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., hormone therapy administered but date is unknown).",
,,,15,"Information is not available at this time, but it is expected that it will be available later (e.g., hormone therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up).",
,,,Blank,"A valid date value is provided in item RX Date Hormone [1230], or the date was not expected to have been transmitted.",
1240,RX Date BRM,Treatment-1st Course,,,
1241,RX Date BRM Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g, unknown if immunotherapy administered).",
,,,11,"No proper value is applicable in this context (e.g., no immunotherapy administered; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., immunotherapy administered but date is unknown).",
,,,15,"Information is not available at this time, but it is expected that it will be available later (e.g., immune therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up).",
,,,Blank,"A valid date value is provided in item RX Date BRM [1240], or the date was not expected to have been transmitted.",
1250,RX Date Other,Treatment-1st Course,,,
1251,RX Date Other Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g, unknown if other therapy administered).",
,,,11,"No proper value is applicable in this context (e.g., no other treatment administered; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., other therapy administered but the date is unknown).",
,,,15,"Information is not available at this time, but it is expected that it will be available later (e.g., other therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up).",
,,,Blank,"A valid date value is provided in item RX Date Other [1250], or the date was not expected to have been transmitted.",
,,,,,
1260,Date Initial RX SEER,Treatment-1st Course,,,
1261,Date Initial RX SEER Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g, unknown if therapy was administered)",
,,,11,"No proper value is applicable in this context (e.g., therapy was not administered)",
,,,12,"A proper value is applicable but not known (e.g., therapy was administered and date is unknown)",
,,,Blank,"A valid date value is provided in item Date Initial RX SEER [1260], or the date was not expected to have been transmitted",
1270,Date 1st Crs RX CoC,Treatment-1st Course,,,
1271,Date 1st Crs RX CoC Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g, unknown whether treatment was administered)",
,,,11,No proper value is applicable in this context (Autopsy only),
,,,12,"A proper value is applicable but not known (e.g., treatment administered but date is unknown)",
,,,Blank,"A valid date value is provided in item Date 1st Crs RX CoC [1270], or the date was not expected to have been transmitted",
1280,RX Date DX/Stg Proc,Treatment-1st Course,,,
1281,RX Date DX/Stg Proc Flag,Treatment-1st Course,10,"No information whatsoever can be inferred from this exceptional value (e.g, unknown if any diagnostic or staging procedure performed).",
,,,11,"No proper value is applicable in this context (e.g., no diagnostic or staging procedure performed; autopsy only case).",
,,,12,"A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., diagnostic or staging procedure performed but date is unknown).",
,,,Blank,"A valid date value is provided in item RX Date DX/Stg Proc [1280], or the date was not expected to have been transmitted.",
1285,RX Summ--Treatment Status,Treatment-1st Course,0,No treatment given,
,,,1,Treatment given,
,,,2,Active surveillance (watchful waiting),
,,,9,Unknown if treatment was given,
1290,RX Summ--Surg Prim Site,Treatment-1st Course,0,None,
,,,43392,Site-specific code; tumor destruction,
,,,20-80,Site-specific codes; resection,
,,,90,"Surgery, NOS",
,,,98,Site specific codes; special,
,,,99,Unknown,
1292,RX Summ--Scope Reg LN Sur,Treatment-1st Course,0,None,
,,,1,"Biopsy or aspiration of regional lymph node, NOS",
,,,2,Sentinel lymph node biopsy,
,,,3,"Number of regional lymph nodes removed unknown, not stated; regional lymph nodes removed, NOS",
,,,4,1 to 3 regional lymph nodes removed,
,,,5,4 or more regional lymph nodes removed,
,,,6,"Sentinel node biopsy and code 3, 4, or 5 at same time or timing not noted",
,,,7,"Sentinel node biopsy and code 3, 4, or 5 at different times",
,,,9,Unknown or not applicable,
1294,RX Summ--Surg Oth Reg/Dis,Treatment-1st Course,0,None; diagnosed at autopsy,
,,,1,Non-primary surgical procedure performed,
,,,2,Non-primary surgical procedure to other regional sites,
,,,3,Non-primary surgical procedure to distant lymph node(s),
,,,4,Non-primary surgical procedure to distant site,
,,,5,"Any combination of codes 2, 3, or 4",
,,,9,Unknown; death certificate only,
1296,RX Summ--Reg LN Examined,Treatment-1st Course,0,No regional lymph nodes examined,
,,,1,One regional lymph node examined,
,,,2,Two regional lymph nodes examined,
,,,..,,
,,,..,,
,,,90,90 or more regional lymph nodes examined,
,,,..,,
,,,95,"No regional lymph node(s) removed, but aspiration of regional lymph node(s) was performed",
,,,96,"Regional lymph node removal documented as sampling, and number of lymph nodes unknown/not stated",
,,,97,"Regional lymph node removal documented as a dissection, and number of lymph nodes unknown/not stated",
,,,98,"Regional lymph nodes surgically removed, but number of lymph nodes unknown/not stated and not documented as sampling or dissection",
,,,99,Unknown; not stated; death certificate-only,
1300,Reserved 07,Treatment-Subsequent & Other,,,
1310,RX Summ--Surgical Approch,Treatment-1st Course,,,
1320,RX Summ--Surgical Margins,Treatment-1st Course,0,No residual tumor,
,,,1,"Residual tumor, NOS",
,,,2,Microscopic residual tumor,
,,,3,Macroscopic residual tumor,
,,,7,Margins not evaluable,
,,,8,No primary site surgery,
,,,9,Unknown or not applicable,
1330,RX Summ--Reconstruct 1st,Treatment-1st Course,,,
1340,Reason for No Surgery,Treatment-1st Course,0,Surgery of the primary site was performed.,
,,,1,Surgery of the primary site was not performed because it was not part of the planned first-course treatment.,
,,,2,"Surgery of the primary site was not recommended/performed because it was contraindicated due to patient risk factors (comorbid conditions, advanced age, etc.).",
,,,5,Surgery of the primary site was not performed because the patient died prior to planned or recommended surgery.,
,,,6,"Surgery of the primary site was not performed; it was recommended by the patient's physician, but was not performed as part of the first-course therapy. No reason was noted in the patient's record.",
,,,7,"Surgery of the primary site was not performed; it was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record.",
,,,8,"Surgery of the primary site was recommended, but it is unknown if it was performed. Further follow-up is recommended.",
,,,9,It is unknown if surgery of the primary site was recommended or performed. Death certificate-only cases and autopsy-only cases.,
1350,RX Summ--DX/Stg Proc,Treatment-1st Course,0,No surgical diagnostic or staging procedure was performed.,
,,,1,"A biopsy (incisional, needle, or aspiration) was done to a site other than the primary site. No exploratory procedure was done.",
,,,2,"A biopsy (incisional, needle, or aspiration) was done of the primary site.",
,,,3,A surgical exploratory only. The patient was not biopsied or treated.,
,,,4,"A surgical procedure with a bypass was performed, but no biopsy was done.",
,,,5,"An exploratory procedure was performed, and a biopsy of either the primary site or another site was done.",
,,,6,"A bypass procedure was performed, and a biopsy of either the primary site or another site was done.",
,,,7,"A procedure was done, but the type of procedure is unknown.",
,,,9,No information about whether a diagnostic or staging procedure was performed.,
1360,RX Summ--Radiation,Treatment-1st Course,0,None,
,,,1,Beam radiation,
,,,2,Radioactive implants,
,,,3,Radioisotopes,
,,,4,Combination of 1 with 2 or 3,
,,,5,"Radiation, NOS-method or source not specified",
,,,6,Currently allowable for historic cases only; see note below,
,,,7,Patient or patient's guardian refused*,
,,,8,"Radiation recommended, unknown if administered*",
,,,9,Unknown if radiation administered,
1370,RX Summ--Rad to CNS,Treatment-1st Course,0,No radiation to the brain and/or central nervous system,
,,,1,Radiation,
,,,7,Patient or patient's guardian refused,
,,,8,"Radiation recommended, unknown if administered",
,,,9,Unknown,
,,,,For all other cases (primaries other than lung or leukemia):,
,,,,9ÊÊÊÊÊNot Applicable,
1380,RX Summ--Surg/Rad Seq,Treatment-1st Course,0,No radiation and/or no surgery; unknown if surgery and/or radiation given,
,,,2,Radiation before surgery,
,,,3,Radiation after surgery,
,,,4,Radiation both before and after surgery,
,,,5,Intraoperative radiation,
,,,6,Intraoperative radiation with other radiation given before and/or after surgery,
,,,7,Surgery both before and after radiation,
,,,9,"Sequence unknown, but both surgery and radiation were given",
1390,RX Summ--Chemo,Treatment-1st Course,0,"None, chemotherapy was not part of the planned first course of therapy.",
,,,1,"Chemotherapy, NOS.",
,,,2,"Chemotherapy, single agent.",
,,,3,"Chemotherapy, multiple agents.",
,,,82,"Chemotherapy was not recommended/administered because it was contraindicated due to patient risk factors (i.e., comorbid conditions, advanced age).",
,,,85,Chemotherapy was not administered because the patient died prior to planned or recommended therapy.,
,,,86,"Chemotherapy was not administered. It was recommended by the patient's physician, but was not administered as part of first-course therapy. No reason was stated in the patient record.",
,,,87,"Chemotherapy was not administered; it was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record.",
,,,88,"Chemotherapy was recommended, but it is unknown if it was administered.",
,,,99,It is unknown whether a chemotherapeutic agent(s) was recommended or administered because it is not stated in patient record; death certificate-only cases.,
1400,RX Summ--Hormone,Treatment-1st Course,0,"None, hormone therapy was not part of the planned first course of therapy.",
,,,1,Hormone therapy administered as first course therapy.,
,,,82,"Hormone therapy was not recommended/administered because it was contraindicated due to patient risk factors (i.e., comorbid conditions, advanced age).",
,,,85,Hormone therapy was not administered because the patient died prior to planned or recommended therapy.,
,,,86,"Hormone therapy was not administered. It was recommended by the patient's physician, but was not administered as part of first-course therapy. No reason was stated in the patient record.",
,,,87,"Hormone therapy was not administered. It was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record.",
,,,88,"Hormone therapy was recommended, but it is unknown if it was administered.",
,,,99,It is unknown whether a hormonal agent(s) was recommended or administered because it is not stated in the patient record. Death certificate-only cases.,
1410,RX Summ--BRM,Treatment-1st Course,0,"None, immunotherapy was not part of the planned first course of therapy.",
,,,1,Immunotherapy administered as first course therapy.,
,,,82,"Immunotherapy was not recommended/administered because it was contraindicated due to patient risk factors (i.e., comorbid conditions, advanced age).",
,,,85,Immunotherapy was not administered because the patient died prior to planned or recommended therapy.,
,,,86,"Immunotherapy was not administered. It was recommended by the patient's physician, but was not administered as part of first-course therapy. No reason was stated in the patient record.",
,,,87,"Immunotherapy was not administered. It was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record.",
,,,88,"Immunotherapy was recommended, but it is unknown if it was administered.",
,,,99,It is unknown whether an immunotherapeutic agent(s) was recommended or administered because it is not stated in patient record; death certificate-only cases.,
1420,RX Summ--Other,Treatment-1st Course,0,None,
,,,1,Other,
,,,2,Other Experimental,
,,,3,Other-Double Blind,
,,,6,Other-Unproven,
,,,7,Refusal,
,,,8,Recommended,
,,,9,Unknown; unknown if administered,
1430,Reason for No Radiation,Treatment-1st Course,0,Radiation therapy was administered.,
,,,1,Radiation therapy was not administered because it was not part of the planned first-course treatment. Diagnosed at autopsy.,
,,,2,"Radiation therapy was not administered because it was contraindicated due to patient risk factors (comorbid conditions, advanced age, etc).",
,,,5,Radiation therapy was not administered because the patient died prior to planned or recommended treatment.,
,,,6,"Radiation therapy was not administered; it was recommended by the patient's physician, but was not administered as part of the first-course therapy. No reason was noted in the patient's record.",
,,,7,"Radiation therapy was not administered; it was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record.",
,,,8,"Radiation therapy was recommended, but it is unknown if it was administered.",
,,,9,It is unknown if radiation therapy was recommended or administered. Death-certificate-only.,
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1440,Reason for No Chemo,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1450,Reason for No Hormone,,,,Retired
1460,RX Coding System--Current,Treatment-1st Course,0,"Treatment data not coded/transmitted (i.e., all treatment fields [items 1200-1450 and 1500-1645] blank)",
,,,1,Treatment data coded using 1-digit surgery codes (obsolete),
,,,2,Treatment data coded according to 1983-1992 SEER manuals and 1983-1995 CoC manuals,
,,,3,Treatment data coded according to 1996 ROADS Manual,
,,,4,Treatment data coded according to 1998 ROADS Supplement,
,,,5,Treatment data coded according to 1998 SEER Manual,
,,,6,Treatment data coded according to FORDS manual,
,,,7,Treatment data coded according to 2010 SEER Coding Manual,
,,,8,Treatment data coded according to STORE Manual and 2018 SEER Coding Manual,
,,,99,"Other coding, including partial or nonstandard coding",
,,,,,
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1470,Protocol Eligibility Stat,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1480,Protocol Participation,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1490,Referral to Support Serv,,,,Retired
1500,First Course Calc Method,,,,Retired
1500,First Course Calc Method,,,,Retired
1500,First Course Calc Method,,,,Retired
1500,First Course Calc Method,,,,Retired
1500,First Course Calc Method,,,,Retired
1501,Phase I Dose per Fraction,Treatment-1st Course,0,Radiation therapy was not administered,New
,,,00001-99997,Record the actual Phase I dose delivered in cGy,
,,,99998,"Not applicable, brachytherapy or radioisotopes administered to the patient",
,,,99999,"Regional radiation therapy was administered but dose is unknown, it is unknown whether radiation therapy was administered. Death Certificate only.",
,,,,,
1502,Phase I Radiation External Beam Planning Tech,Treatment-1st Course,0,No radiation treatment,New
,,,1,"External beam, NOS",
,,,2,Low energy x-ray/photon therapy,
,,,3,2-D therapy,
,,,4,Conformal or 3-D conformal therapy,
,,,5,Intensity modulated therapy,
,,,6,"Stereotactic radiotherapy or radiosurgery, NOS",
,,,7,"Stereotactic radiotherapy or radiosurgery, robotic.",
,,,8,"Stereotactic radiotherapy or radiosurgery, Gamma Knifeå¨",
,,,9,CT-guided online adaptive therapy,
,,,10,MR-guided online adaptive therapy,
,,,88,Not Applicable,
,,,98,"Other, NOS",
,,,99,Unknown,
,,,,,
1503,Phase I Number of Fractions,Treatment-1st Course,0,Radiation therapy was not administered to the patient.,New
,,,001-998,Number of fractions administered to the patient during the first phase of radiation therapy.,
,,,999,"Phase I Radiation therapy was administered, but the number of fractions is unknown; It is unknown whether radiation therapy was administered.",
,,,,,
1504,Phase I Radiation Primary Treatment Volume,Treatment-1st Course,0,No radiation treatment,New
,,,1,Neck lymph node regions,
,,,2,Thoracic lymph node regions,
,,,3,Neck and thoracic lymph node regions,
,,,4,Breast/ Chestwall lymph node regions,
,,,5,Abdominal lymph nodes,
,,,6,Pelvic lymph nodes,
,,,7,Abdominal and pelvic lymph nodes,
,,,9,"Lymph node region, NOS",
,,,10,Eye/orbit/optic nerve,
,,,11,Pituitary,
,,,12,Brain,
,,,13,Brain (Limited),
,,,14,Spinal cord,
,,,20,Nasopharynx,
,,,21,Oral Cavity,
,,,22,Oropharynx,
,,,23,Larynx (glottis) or hypopharynx,
,,,24,Sinuses/Nasal tract,
,,,25,Parotid or other salivary glands,
,,,26,Thyroid,
,,,29,Head and neck (NOS),
,,,30,Lung or bronchus,
,,,31,Mesothelium,
,,,32,Thymus,
,,,39,Chest/lung (NOS),
,,,40,Breast - whole,
,,,41,Breast - partial,
,,,42,Chest wall,
,,,50,Esophagus,
,,,51,Stomach,
,,,52,Small bowel,
,,,53,Colon,
,,,54,Rectum,
,,,55,Anus,
,,,56,Liver,
,,,57,Biliary tree or gallbladder,
,,,58,Pancreas or hepatopancreatic ampulla,
,,,59,Abdomen (NOS),
,,,60,Bladder - whole,
,,,61,Bladder - partial,
,,,62,Kidney,
,,,63,Ureter,
,,,64,Prostate - whole,
,,,65,Prostate - partial,
,,,66,Urethra,
,,,67,Penis,
,,,68,Testicle or scrotum,
,,,70,Ovaries or fallopian tubes,
,,,71,Uterus or Cervix,
,,,72,Vagina,
,,,73,Vulva,
,,,80,Skull,
,,,81,Spine/vertebral bodies,
,,,82,Shoulder,
,,,83,Ribs,
,,,84,Hip,
,,,85,Pelvic bones,
,,,86,"Pelvis (NOS, non-visceral)",
,,,88,"Extremity bone, NOS",
,,,90,Skin,
,,,91,Soft tissue,
,,,92,Hemibody,
,,,93,Whole body,
,,,94,"Mantle, mini-mantle (obsolete after 2017)",
,,,95,Lower extended field (obsolete after 2017),
,,,96,Inverted Y (obsolete after 2017),
,,,97,Invalid historical FORDS value,
,,,98,Other,
,,,99,Unknown,
,,,,,
1505,Phase I Radiation to Draining Lymph Nodes,Treatment-1st Course,0,No radiation treatment,New
,,,1,Neck lymph node regions,
,,,2,Thoracic lymph node regions,
,,,3,Neck and thoracic lymph node regions,
,,,4,Breast/Chest wall lymph node regions,
,,,5,Abdominal lymph nodes,
,,,6,Pelvic lymph nodes,
,,,7,Abdominal and pelvic lymph nodes,
,,,8,"Lymph node region, NOS",
,,,88,Not applicable; Phase I Radiation Primary Treatment Volume is lymph nodes,
,,,99,Unknown if any radiation treatment to draining lymph nodes; Unknown if radiation treatment administered,
,,,,,
1506,Phase I Radiation Treatment Modality,Treatment-1st Course,0,No radiation treatment,New
,,,1,"External beam, NOS",
,,,2,"External beam, photons",
,,,3,"External beam, protons",
,,,4,"External beam, electrons",
,,,5,"External beam, neutrons",
,,,6,"External beam, carbon ions",
,,,7,"Brachytherapy, NOS",
,,,8,"Brachytherapy, intracavitary, LDR",
,,,9,"Brachytherapy, intracavitary, HDR",
,,,10,"Brachytherapy, Interstitial, LDR",
,,,11,"Brachytherapy, Interstitial, HDR",
,,,12,"Brachytherapy, electronic",
,,,13,"Radioisotopes, NOS",
,,,14,"Radioisotopes, Radium-232",
,,,15,"Radioisotopes, Strontium-89",
,,,16,"Radioisotopes, Strontium-90",
,,,99,Treatment radiation modality unknown; Unknown if radiation treatment administered,
,,,,,
1507,Phase I Total Dose,Treatment-1st Course,0,No therapy administered,New
,,,000001-999997,Record the actual total dose delivered in cGy,
,,,999998,"Not applicable, radioisotopes administered to the patient",
,,,999999,"Radiation therapy was administered, but the dose is unknown; it is unknown whether radiation therapy was administered",
,,,,,
1510,Rad--Regional Dose: cGy,Treatment-1st Course,(Fill spaces),Record the actual regional dose delivered,
,,,0,Radiation therapy was not administered,
,,,88888,"Not applicable, brachytherapy or radioisotopes administered to the patient",
,,,99999,"Regional radiation therapy was administered, but the dose is unknown",
1511,Phase II Dose per Fraction,Treatment-1st Course,0,Radiation therapy was not administered,New
,,,00001-99997,Record the actual Phase II dose delivered in cGy,
,,,99998,"Not applicable, brachytherapy or radioisotopes administered to the patient",
,,,99999,"Phase II (Boost) radiation therapy was administered but dose is unknown, it is unknown whether Phase II radiation therapy was administered. Death Certificate only.",
,,,,,
1512,Phase II Radiation External Beam Planning Tech,Treatment-1st Course,0,No radiation treatment,New
,,,1,"External beam, NOS",
,,,2,Low energy x-ray/photon therapy,
,,,3,2-D therapy,
,,,4,Conformal or 3-D conformal therapy,
,,,5,Intensity modulated therapy,
,,,6,"Stereotactic radiotherapy or radiosurgery, NOS",
,,,7,"Stereotactic radiotherapy or radiosurgery, robotic",
,,,8,"Stereotactic radiotherapy or radiosurgery, Gamma Knifeå¨",
,,,9,CT-guided online adaptive therapy,
,,,10,MR-guided online adaptive therapy,
,,,88,Not applicable,
,,,98,"Other, NOS",
,,,99,Unknown,
,,,,,
1513,Phase II Number of Fractions,Treatment-1st Course,0,Radiation therapy was not administered to the patient,New
,,,001-998,Number of fractions administered to the patient during the second phase of radiation therapy,
,,,999,"Phase II Radiation therapy was administered, but the number of fractions is unknown; It is unknown whether radiation therapy was administered",
,,,,,
1514,Phase II Radiation Primary Treatment Volume,Treatment-1st Course,0,No phase II radiation treatment,New
,,,1,Neck lymph node regions,
,,,2,Thoracic lymph node regions,
,,,3,Neck and thoracic lymph node regions,
,,,4,Breast/ Chestwall lymph node regions,
,,,5,Abdominal lymph nodes,
,,,6,Pelvic lymph nodes,
,,,7,Abdominal and pelvic lymph nodes,
,,,9,"Lymph node region, NOS",
,,,10,Eye/orbit/optic nerve,
,,,11,Pituitary,
,,,12,Brain,
,,,13,Brain (Limited),
,,,14,Spinal cord,
,,,20,Nasopharynx,
,,,21,Oral Cavity,
,,,22,Oropharynx,
,,,23,Larynx (glottis) or hypopharynx,
,,,24,Sinuses/Nasal tract,
,,,25,Parotid or other salivary glands,
,,,26,Thyroid,
,,,29,Head and neck (NOS),
,,,30,Lung or bronchus,
,,,31,Mesothelium,
,,,32,Thymus,
,,,39,Chest/lung (NOS),
,,,40,Breast - whole,
,,,41,Breast - partial,
,,,42,Chest wall,
,,,50,Esophagus,
,,,51,Stomach,
,,,52,Small bowel,
,,,53,Colon,
,,,54,Rectum,
,,,55,Anus,
,,,56,Liver,
,,,57,Biliary tree or gallbladder,
,,,58,Pancreas or hepatopancreatic ampulla,
,,,59,Abdomen (NOS),
,,,60,Bladder - whole,
,,,61,Bladder - partial,
,,,62,Kidney,
,,,63,Ureter,
,,,64,Prostate - whole,
,,,65,Prostate - partial,
,,,66,Urethra,
,,,67,Penis,
,,,68,Testicle or scrotum,
,,,70,Ovaries or fallopian tubes,
,,,71,Uterus or Cervix,
,,,72,Vagina,
,,,73,Vulva,
,,,80,Skull,
,,,81,Spine/vertebral bodies,
,,,82,Shoulder,
,,,83,Ribs,
,,,84,Hip,
,,,85,Pelvic bones,
,,,86,"Pelvis (NOS, non-visceral)",
